1980.04.03;Stan Hansen (c) vs Antonio Inoki;http://njpwworld.com/p/s_series_00030_2_2;Big Fight Series;Kuramae Kokugikan;NWF World Heavyweight Title;;2
1980.04.13;Gran Hamada & Satoru Sayama vs Perro Aguayo & Baby Face;https://njpwworld.com/p/s_series_00030_4_1;UWA Mexico;Toreo de Cuatro Caminos;2/3 Falls;;1
1980.05.09;Tatsumi Fujinami (c) vs Chavo Guerrero;http://njpwworld.com/p/s_series_00031_1_1;3rd MSG Series;Fukuoka Sports Centre;WWF Junior Heavyweight Title;;0
1980.08.09;Tatsumi Fujinami (c) vs Chavo Guerrero;https://njpwworld.com/p/s_series_00032_3_1;WWF Showdown at Shea;Shea Stadium, NYC;WWF Junior Heavyweight Title;;0
1980.09.25;Antonio Inoki (c) vs Stan Hansen;https://njpwworld.com/p/s_series_00032_1_1;Bloody Fight Series;Hiroshima City Gym;NWF World Heavyweight Title;;0
1980.09.30;Bob Backlund (c) vs Stan Hansen;http://njpwworld.com/p/s_series_00032_2_1;Bloody Fight Series;Nippon Budokan;WWF World Heavyweight Title;;1
1980.10.10;Antonio Inoki & Bob Backlund vs Stan Hansen & Hulk Hogan;https://njpwworld.com/p/s_series_00033_1_1;1st MSG Tag League;Osaka Prefectural Gym;1st MSG Tag League Final;;1
1981.04.23;Tiger Mask vs Dynamite Kid;http://njpwworld.com/p/s_series_00034_1_1;Big Fight Series;Kuramae Kokugikan;;;1
1981.04.23;Antonio Inoki vs Stan Hansen;http://njpwworld.com/p/s_series_00034_1_2;Big Fight Series;Kuramae Kokugikan;NWF Heavyweight Title (vacant);;1
1981.06.24;Tiger Mask vs Villano III;https://njpwworld.com/p/s_series_00035_1_2;Super Fight Series;Kuramae Kokugikan;;;1
1981.08.02;Tiger Mask vs Scorpion;http://njpwworld.com/p/s_series_00239_1_1;Burning Spirit in Summer;Korakuen Hall;;;0
1981.09.18;Tatsumi Fujinami & Tiger Mask vs El Solar & El Solitario;https://njpwworld.com/p/s_series_00036_1_1;Bloody Fight Series;Hiroshima City Gym;;;0
1981.09.23;Tiger Mask vs El Solar;https://njpwworld.com/p/s_series_00036_2_2;Bloody Fight Series;Denen Colosseum;;;0
1981.09.23;Andre the Giant vs Stan Hansen;http://njpwworld.com/p/s_series_00036_2_1;Bloody Fight Series;Denen Colosseum;;;2
1981.09.23;Antonio Inoki vs Kim Duk;http://njpwworld.com/p/s_series_00036_2_3;Bloody Fight Series;Denen Colosseum;;;0
1981.10.08;Antonio Inoki vs Rusher Kimura;https://njpwworld.com/p/s_series_00037_1_1;Toukon Series;Kuramae Kokugikan;;;0
1981.11.05;Tiger Mask vs Gran Hamada;http://njpwworld.com/p/s_series_00038_1_2;Fighting Spirit Series;Kuramae Kokugikan;;;1
1981.11.05;Antonio Inoki vs Rusher Kimura;https://njpwworld.com/p/s_series_00038_1_4;Fighting Spirit Series;Kuramae Kokugikan;Lumberjack Deathmatch;;0
1981.12.08;Tiger Mask vs El Canek;http://njpwworld.com/p/s_series_00039_1_1;2nd MSG Tag League;Kuramae Kokugikan;;;0
1981.12.08;Rusher Kimura & Kim Duk vs Dick Murdoch & Dusty Rhodes;http://njpwworld.com/p/s_series_00039_1_2;2nd MSG Tag League;Kuramae Kokugikan;2nd MSG Tag League Match;;1
1981.12.10;Antonio Inoki & Tatsumi Fujinami vs Andre the Giant & Rene Goulet;http://njpwworld.com/p/s_series_00039_2_1;2nd MSG Tag League;Osaka Prefectural Gym;MSG Tag League FINAL;;0
1982.01.01;Karl Gotch vs Yoshiaki Fujiwara;https://njpwworld.com/p/s_series_00040_1_1;New Year Super Fight;Korakuen Hall;;;0
1982.01.01;Tiger Mask vs Dynamite Kid;http://njpwworld.com/p/s_series_00040_1_3;New Year Super Fight;Korakuen Hall;WWF Jr. Title Tournament FINAL;;1
1982.01.28;Tiger Mask (c) vs Dynamite Kid;http://njpwworld.com/p/s_series_00041_1_2;New Year Golden Series;Tokyo Metropolitan Gym;WWF Junior Heavyweight Title;;1
1982.04.01;Tiger Mask (c) vs Steve Wright;http://njpwworld.com/p/s_series_00042_1_1;5th MSG Series;Kuramae Kokugikan;WWF Junior Heavyweight Title;;1
1982.04.21;Tiger Mask (c) vs Black Tiger;https://njpwworld.com/p/s_series_00043_1_1;Charity Donation Special;Kuramae Kokugikan;WWF Junior Heavyweight Title;;1
